name|key
clear-cutting, secondary forest to arable land, perennial crop|91ccad0867fc3c68df57c351b92b36ed
metal working, average for steel product manufacturing|93be4472bf03cf70d56002986f787b7f
treatment of waste paint, inert material landfill|a083cc3df6a07a5ff1253798f3eff6f9
wind turbine network connection construction, 750kW, onshore|dee44990af39214f07954103b3f24edb
market for acetamide-anillide-compound, unspecified|6bf983d00a3645dcaac183c1156d69ae
market for aluminium hydroxide|e8dcca1521a7d08368af216be0348d4b
market for uranium hexafluoride|2196180db21eb7f1c23da515528beb98
electricity production, oil|33297bf1350efecf06c52372f5236c82
nutrient supply from vinasse, from fermentation of sugar beet molasses|9327b72a59089495a4dc150b3f8edcce
electricity, high voltage, production mix|d07ac0b9a36e3a0455c6b5b6e907c5b0
electricity production, oil|71c6f1000f9bb36f09a8aa2857330dd1
board, softwood, raw, kiln drying to u=10%|80c062e0a5d6a8d43dcc7b8bc0daaf5c
treatment of blast furnace gas, in power plant|1b41ec4b39734fb98c14fc9dfa4c1844
market for heavy water|dc9d852c86c132dbafaac511d9d0639c
market for wood preservation, spray tunnel/deluging, organic solvent-based, outdoor use, no ground contact|e2a64972a60a2f210ae27c6b913f9b43
transport, freight train|97b9f55ba91f63b9a19dbe69e3cf933c
fish canning, large fish|7d28b7072741ac109a02d325d40e5321
o-cresol production|c91e620916c592cbbc72427dd2b442a3
heat and power co-generation, hard coal|0cbfe6b67bac9c80379e84ecf0a6efc0
fatty acid production, from palm oil|0b121b089d4ff5d87eec09534d883b85
market for photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof|296272447623e7868b18689b13bc3009
electricity, high voltage, import from DE|25515e40f9a0f333e03b7c5aa581223b
electricity production, wind, <1MW turbine, onshore|e6babecc3c00f8bf26151581136a24f6
beam, softwood, raw, kiln drying to u=10%|047cc24366b2c1f3a39588cb968f9544
forwarder production|35b1d755d04bedd314f1193f52182133
treatment of waste reinforced concrete, recycling|809c3ca5f430ba268dfc2092bf4014eb
treatment of digester sludge, municipal incineration|b445ac25e3d0c3cfeeb01e0688b08030
land already in use, perennial cropland to perennial crop|ea815372b00a350455ba9435764a1492
market for municipal solid waste|88549e59a1116c16d5f70799f713de56
petroleum and gas production, on-shore|9ed2cd9594b7f6905acbe71af339753e
land already in use, perennial cropland to perennial crop|e64dd1d520c71352d70b3762b1d3c104
treatment of municipal solid waste, incineration|2433435ba3639bfeed1caab578b50120
market group for waste polyethylene terephthalate|b1e65c82db675025da8d1b0a56068295
market for bell pepper|b86ee57831537dbe63aebc9c467eca5d
market for diesel|d80e8ec5f1d3a7f0e4eebca2a0916864
sawnwood production, hardwood, dried (u=10%), planed|c5948629eaa30fe7757cdc564060aea3
electricity production, oil|feddbf0823c0f5a1239699d527116416
treatment of used lorry with refrigeration machine, 16 metric ton|bf0d33e4c61a7d05d799ac979c851783
market for land use change, perennial crop|6593ea47b492329615318b68e7b9b2af
market for waste paperboard|4e6031c8f0e152902b42453f99bef509
maleic unsaturated polyester resin production|4a49da30200037b64825bf5a83bc86ba
heat and power co-generation, oil|95dac57a80ec43c74ed0e885e5b8b521
market for natural gas, unprocessed, at extraction|3e6986ac755edf2420b36faa2786fbf0
market for heat storage, 2000l|ad63fa6a3eada43b37ca510080344da7
market for air filter, in exhaust air valve|260c18aaba659333935e55fabd142f70
market for calcium borates|994bd044eb1c92b31860598be6d99980
transport, passenger train, high-speed|c07aaa9253a8c288e8a91713b57d65c7
particle board production, for outdoor use|2ed7c3fc25955da0960daa221d80cb75
market for power adapter, for laptop|2a9dc5ec5ef251781e742e4af9483e87
market for sodium perchlorate|85fe8a213a35dce5c09b3e418738a055
electricity production, natural gas, aluminium industry|e15af86296576a06614cd4ab2f158302
treatment of residue from mechanical treatment, laptop computer, municipal waste incineration|3f2ea5b0b679aba92a0ad959de3a19d6
market for kerosene|2f6bed76b370ed96afd271ae2c3b5a55
transport, freight, lorry 3.5-7.5 metric ton, EURO6|f81ea9d6953fc7c34ee8122510d67584
treatment of waste concrete, not reinforced, recycling|54a48199e2c998c1e339a3883f069ae7
market for waste paper, sorted|c268aaf711766ddd0377e37cb1cc188d
electricity, high voltage, production mix|5951ff510e478f53acb5be2ab4f67db6
sawing, hardwood|3d2d2c7752c6fab45e1b47f3b2b2d949
ascorbic acid production|9706a2e571c11c89b9d91425211d38a5
magnesium sulfate production|1d0136353a8a15af197f82ffb16ed13f
impact extrusion of steel, hot, 2 strokes|76a038c5f908e42ef78532cbed2df1e5
synthetic gas production, from wood, at fixed bed gasifier|87e55a70e9f230ef3d2b45e79905a58f
cottonseed, organic to generic market for energy feed|64cffad0a119a3abdac05eae8e37cc43
land already in use, annual cropland to annual crop|2ac49eb776a25efbb304def9486a17f9
market for land tenure, arable land, measured as carbon net primary productivity, annual crop|db8a09f1e8430a079ce9c93d2f59223e
anode production, prebake, for aluminium electrolysis|ccaac64ed6d6c1b7b383446371c91b0c
market for slab and siding, hardwood, wet, measured as dry mass|9ea7e9cd9305c79e3a0d52f897cfea18
