name|key
market for latex|1965845f22e58db5c3f24033cd13e24a
cast iron milling, large parts|5bcadbb5a3d5ffa0f9bf609275429727
hard coal, run-of-mine to market for hard coal|d46a92a4f87ebd40cfa6afcdb6e7f759
market for electricity, high voltage|007d79f525d7ec42c870f31471dc80b6
liquefied petroleum gas, import from unspecified|0f08467cec2cc784d79ddc3049de9b11
bicycle production|6231309f2adc6e808f5d3729c03d9250
lubricating oil production|2ff8bb3b685059c5e17129603b764494
anode production, paste, for aluminium electrolysis|70d15881b1d7dd77085cc9baeb4acf22
rice production, non-basmati|a3e9a97ab4b0e90fb687632d6d591da6
market for sulfidic tailing, off-site, high-gold content|e0d22284917d53fef76f58ebfc89c6f5
treatment of scrap copper, municipal incineration|af1d0ab03a8421f7c33d2988611176b2
field leveling, sugarcane|3c218b6c35571273a23f2dce02bbbd40
2,4-dichlorophenol production|be7639dceb34f67081252bbecdc8a2c2
electricity production, wind, >3MW turbine, onshore|fa3598bbd3fcff5094702e2aaa3b38e2
bark chips production, softwood, at sawmill|7f725fe2d1635613dc617a193edb6557
land use change, perennial crop|5089c292465b055f797527624a3d3e99
heat production, natural gas, at boiler condensing modulating <100kW|c1494fadc9d54e64c2f2a078c57220b4
treatment of filter dust from Al electrolysis, residual material landfill|7d4581e413b42b2c2888793bb8cad151
treatment of waste bulk iron, excluding reinforcement, sorting plant|10c0d08e65adb09af81c3fe0de9ef098
market for land use change, annual crop|38a86ea4181ab815c48de9341089a4b5
window frame production, aluminium, U=1.6 W/m2K|31f44bc1771d0f2510085f2961f06f79
market for aluminium sulfate, without water, in 4.33% aluminium solution state|263f4384c0641aefb9ba4eaac8b3936e
electricity production, wind, 1-3MW turbine, onshore|435bf3e599b7e31b95f6dcbf7ddfd6de
market for waste polyvinylchloride|317d579a6fb431726b76d63b1f44dff9
polyacrylamide production|d257ed42ce2fcc73fdaacc333c60e523
photovoltaic facade installation, 3kWp, single-Si, panel, mounted, at building|49d7c5e083643fab9d302bd1fae09a53
market for printed wiring board, through-hole mounted, unspecified, Pb free|15b8190e4565285f47657cd4121cb42d
market for fly ash and scrubber sludge|dfd29cd3e47e3f274bdb29690e65a5e2
operation, computer, desktop, with liquid crystal display, home use|bc6bb161811b92a89f676b3eed54d29f
market for drying of maize straw and whole-plant|87ca8dc7c191707cb9769cdbf02349e9
tap water production, artificial recharged wells|05187e3cc0f63bc02fbf8c6058809c81
electricity production, photovoltaic, 570kWp open ground installation, multi-Si|8ebf5eee121d657bba4612e151febafe
steel milling, average|9c7e58aeefa3e878e786c91f8e2f4151
market for energy use and operation emissions, electric bicycle|154792bc810023cfa07880577942d80e
market for electricity, high voltage|4042f33687d7b149940d0cf08b9ed83a
treatment of waste polyurethane, open dump, dry infiltration class (100mm)|24e60dbc16c38573d36d034abc2a90f9
EUR-flat pallet production|4663f4a0ec31e31c4e095c089cb2f8f4
market for cellulose fibre, inclusive blowing in|a00de3434fe928b236a022e91d7134cc
methyl acrylate production|54ed64f9381965b602a9acacf305b5d6
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|5f99b3320dfbf4b20289976c26052896
market for potentiometer, unspecified|4f9e20e1ca5224365719c4e7daf67bc4
tube insulation factory construction|ae43d627d2beab4b2b32df211973bdd6
clinker production|69a5b3d639121b43b01406f9fb959ea3
market for transport, passenger car, large size, natural gas, EURO 5|a1486054d41d9cb7628a184affee91a3
core board production|bef702bb73ce5c7803cd1e7273818b5c
electricity production, nuclear, boiling water reactor|0c346430f829377974f71b446ae66487
intermodal shipping container production, 40-foot, high-cube|96f0029e4c0a50a2090db1b6381b5c89
market for waste polyethylene terephthalate|8a7bc85f806c4e5462f0fb855f5dc6ad
electricity production, natural gas, conventional power plant|e4f2426848da287e702c70c16bbdcd25
transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, carbon dioxide, liquid refrigerant, freezing|767a8a42ba443dec9870f108333a9479
market for waste plastic, mixture|d6915b80d09939dcc9bd4b2026de97b2
planing, beam, softwood, u=20%|057b4ad89411b33abe26eda5a2b6c1af
market for trout|78fd437c77a1992ca7376f1c46062494
electricity production, wind, >3MW turbine, onshore|9c6e3a0915e7a4e5c0cc8b9e6957ade0
photovoltaic laminate production, multi-Si wafer|3ce0ecf16be2913884a651bb96a60836
electricity production, wind, 1-3MW turbine, onshore|7e5d2a2aca70c408a7d00a5c479bb227
electricity production, oil|bd1305308a342f376816aef88474ca8b
market for trichloromethane|0ad8a78e7c5a75e374605bb5538d73cc
printed wiring board production, for through-hole mounting, Pb containing surface|0e243e9eea3d2195970c7ed55d43fc41
electricity production, wind, <1MW turbine, onshore|325a1a77657148587b3faf624970faca
market for waste bulk iron, excluding reinforcement|9ee10863724366395c6341575fd6994b
haying, by rotary tedder|bfc3a4238b7078c1a52edc69a606e077
passenger car production, diesel|4a297c4ff8437d85bfe0f774d6d5981a
market for electricity, low voltage|980638029b4e6fe45b257e0f4fb84e93
electricity production, solar thermal parabolic trough, 50 MW|f8f6d2f0fe4545a3eec9f562af648c26
market for transport, freight, light commercial vehicle, EURO1|04df2f1110e3bd9e8322c0a65b304515
