name|key
trimethylamine production|c7b611810ab3da8e073fd824413f4693
market for tap water|6e0d5c3944f91b6330596d672f802d7b
electricity, high voltage, production mix|9e205ecef877a140b20e6f6ee7815cb0
market for waste glass|d822fc2af6dbb5dfd71f9bcc469b6a47
market for electricity, high voltage|3e4c58690c41254dea76ee72187b2109
oil boiler production, 100kW|3e6f24eea14c526ad838aaacfe94671d
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|481f1a68d28891b52eb30a758a4b7e76
treatment of coal gas, in power plant|f368b721a3c7a54429fd4290dcd382b7
operation, intermodal shipping container, 40-foot, high-cube|445edb093cdd7e7176f6210e7a989f3f
market for waste wood, untreated|6d1c2bf1d6fd225e7dd124269fe2329c
mine construction, open cast, lignite|5e24a7c33018e89097baed17c17ccd90
molybdenite mine operation|1a2906e97ab21d766edadd4855faf2f1
dithiocarbamate-compound production|448939a52c22adf6e4498efeff0cfc94
transport, freight, lorry 16-32 metric ton, EURO6|54b1b234e1ee7969eee83577287ae5a3
market for waste polyethylene|4c1eb1294bb8d320f04497f7a7bdc61d
market for dross from Al electrolysis|f6aa524f420f2d169534233553d7489e
cement production, limestone 6-10%|4467389f280095996a6b1278862dd86c
electricity production, wind, 1-3MW turbine, onshore|e28cc051e45a0fc27969f7fde4966713
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted|46180488e069c32c7e9b69615ad42bcf
market for triphenyl phosphate|142262e30026436368a987e4c1b58918
market for electricity, high voltage|fd28bbde3a6c11e90413c9bb0ead9802
market for electricity, medium voltage|b6810e84d59650c2508cf7f9f73a7323
brass turning, primarily dressing, computer numerical controlled|dbdc85f93b9ad9327661204d4c59c23a
market for land tenure, arable land, measured as carbon net primary productivity, annual crop|8b985fbb210861a0b0fc5860678cda89
market for sewage sludge|4f420a0bf2f52bf0a63aa064f49650e5
onion production|37b5b1aba0aeef9a7aa12eb56260af5b
treatment of used blower and heat exchange unit, decentralized, 180-250 m3/h|6f2c1b7b95f608684717b98b0f502e3f
tram production|e6579732af1a3383d37d99d9f15bdd69
market for cement mortar|03d83e9117be6c9faeb97708a25b6fd9
dried roughage store construction, cold-air dried, conventional|d177c8d568cfb9db2f8a2778a82c19a1
electricity production, wind, <1MW turbine, onshore|87a81d59eb3b3cceb8366f71209f62ef
polyvinylchloride production, bulk polymerisation|eb329054547cd9bc912fa5fa4ed86169
market for dryer|5674dbb19ec62d4ef57cf88e3f81cf31
propylene production, pipeline system|3f349f5b824489fbd64222aa84867860
electricity, high voltage, import from IN-North-eastern grid|f6b3d0e7c42d96c57444e2959d8ea367
market for sunflower seed, Swiss integrated production|7f32384c6c018719dc1f3a4c2e441341
market for tofu|979fd85c82614f144002eff33c892aec
benzimidazole-compound production|bb0e954296ab36b55f4bc39ec9f2f5e2
cement production, pozzolana and fly ash 15-50%|bd4b7c39cdbc309163b41320750ea50b
electricity production, hard coal|8ef5db9f9ec36f7aeb14d255be2105ec
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted|9c28b31e7b62e82e6dd04e7aae393b0f
market for electricity, high voltage|3b47728879bb0c2b4b6ddba94a85ec61
battery separator production|ae2f9ad1303e50d8dee81c0daa30c8f1
market for pipeline, natural gas, long distance, low capacity, onshore|54a9c799036670b89e0e4f2c4b24c905
market for folding boxboard/chipboard|39a29ce50c604a58484ff2378fed3940
market for photovoltaic slanted-roof installation, 3kWp, a-Si, laminated, integrated, on roof|022a36489ede9f44bdbe3f667343ed61
electricity voltage transformation from high to medium voltage, aluminium industry|82f5210d559a532df85743d4c9b1b0e0
market for heat, for reuse in municipal waste incineration only|7c432e28ee050bc9533dbda588ca6442
market for 3-methylpyridine|f89ed27068f5fa908ec596d020819718
market for municipal solid waste|db8ca1f71f287bbc110f8bd794c15dea
treatment of waste vapour barrier, flame-retarded, municipal incineration with fly ash extraction|c82f403bc3e09a1d6f69bd111d42f917
hard coal mine operation, open cast, truck and shovel|0125c8d35c990af75e2beaf702c27bec
water production, deionised|8eda3039c939ce064b5a0f1bd220dd8c
