name|key
market for inorganic potassium fertiliser, as K2O|bbfa0ed1c00a1e07c4d1a997958c2fee
planing, board, hardwood, u=20%|9bd5055e0a9018f3c17dbe3affcb42bd
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|d6c673dd58dae660722672fdc13e001a
land already in use, annual cropland to annual crop|6566d1472e83414efc447d6ede019cdf
market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made|94f1240075df0111d1eb4e4889163d1b
acetic acid production, butane oxidation|8d2ee645508c8e84094ba9d0863dc050
propylene production, from propane dehydrogenation|15fc135654d678372aad88f8cf5ff43a
treatment of wastewater from liquid crystal production, wastewater treatment|3cdf90f542f5224d06fae5010f984f2a
hydrocarbons purification, molecular sieve separation of naphtha |7bd5551a82ba41a34ba86a56258bfab6
market for lime, hydrated, packed|0697f9e5c20583b2bb8ca68f0512a267
market for sawnwood, softwood, dried (u=10%), planed|bfce005748a98d0c4adb13ead83f9b56
operation, solar collector system, Cu flat plate collector, one-family house, for hot water|0e7b92d9837be2d8eb3cef1baa51b31f
potash salt production|4fa3ce125d99968bfedf78bc3670c8f5
electricity, high voltage, import from FR|f3053742ca7c7ac346fd77c9ffa9fc53
market for inorganic phosphorus fertiliser, as P2O5|22504a4240b8aa2d0dedffaf985e9634
market for sewage sludge, 70% water, WWT, WW, average|09d2e68b745980952a829b74790a6985
treatment of waste mineral wool, collection for final disposal|bb130e5c4726cac7b16b66cba5ca6bbc
phenyl isocyanate production|00642f2ddcbbad3a0a1e9efcd52b42c7
heat and power co-generation, natural gas, conventional power plant, 100MW electrical|5eef91333ef009b51ab115cb1e1ff83a
electricity, high voltage, residual mix|057fb8f0849bff21a6aca28a3b2b96c0
market for waste polyethylene terephthalate|e3230e92a5c3905c372e781eaf363637
treatment of bottom ash, MSWI[F], copper in car shredder residue, slag compartment|33f824e82b552833ae31c1cc8880d67a
market for inorganic nitrogen fertiliser, as N|d207cf0f62b3d75e6e3c37f6ec9c0e71
cover plaster production, mineral|e47ab086e6274a2c1dca29677bcef848
treatment of scrap aluminium, municipal incineration FAE|5cb51f5ae7ed9792fdb3145ebb0431f1
market for thermal spraying, high velocity oxyfuel, tungsten carbide-cobalt, on carbon steel substrate|cb4e915d67f8ba2332052f027001eb12
acetone production, from isopropanol|f48a8aa18ee60aa05e485170cf109594
electricity production, natural gas, conventional power plant|20fe5b26906b1a75015ace97e99f8f20
market for inorganic potassium fertiliser, as K2O|fa3911e8e05c7f9148ebb57b725b4371
market for marine fish|418fa6d41f04c6738db8077d51ec1869
market for cast iron removed by milling, small parts|0e9362ebb0ceb5d7fac94bcd41bffd91
market for sodium bicarbonate|3dccf50c511b053d0d4fc945e9c627e2
heat and power co-generation, lignite|4d16de45cb308c631557f7d6df92241a
scandium oxide production, from rare earth tailings|a493a3a22f4fd15422b987fc77fb6da5
electricity, high voltage, residual mix|ee6fe3a351b9c586985316b35e2a8e7b
market for inorganic nitrogen fertiliser, as N|b93f373da833117b88652e211cd45b39
treatment of bottom ash, MSWI, municipal solid waste, slag compartment|911b1df1098c020ed451e6cfe6bd51ef
market for palm fruit bunch|e21bcfa0ef2afd5027fa96d19e1ffcd6
sawing, softwood|daaa9050c8eac918ea41b5f0e68404a4
market for rye seed, organic, for sowing|5305dcbd2038f15e643fed408ebb27cc
spodumene production|eab6c440835d572b25bae625612db921
vinyl fluoride production|87b4ea1e2e309ccd3852c93a8117dcec
aircraft production, dedicated freight aircraft, long haul|b8b5d7f2c6cedc53ea6c2633fcae49ca
petroleum and gas production, onshore|40476abc3e3fbe8a81d37622e328c8ac
land use change, annual crop|4bc401e8ecb88d7266f45f3009920f38
electricity production, hydro, reservoir, alpine region|8cff4473c02e99b77a766f11a9d317fc
treatment of bottom ash, MSWI, used LCD module, slag compartment|903174bd89d102298e3d1f70783dbf4c
market for maize grain|a5820cf3b4d6ed4618ff33585e6a3ef9
market for electricity, medium voltage|bb270edb45f86b8aee0759950cf038e9
electricity production, natural gas, conventional power plant|e67d278b18259552ae14060897b741de
market for tillage, harrowing, by moldboard plow|ea3c13a8b413553a1aca4702fd35e417
cement production, type ICo|58ed82a92c011d848f67b22e81332755
polyethylene terephthalate production, granulate, bottle grade|c1535c327c57e4e2e4e71e762d516822
natural gas, high pressure, import from TT|217f0681decd669cde18c499102d63ca
electricity production, natural gas, conventional power plant|d3e7de3c24ea32e7921f6c2d8d5f22ed
clinker production|7d8a627425969276e12e00e8714c0d05
sunflower production|28529bee7c6d11deb72d2375ed916db1
natural gas, high pressure, import from US|bac17ae07821c72b0ca6b24e81191aca
market for used double glazing, U<1.1W/m2K|4fcf9b0852fc8e58e558e4525b41b390
market for ethylene carbonate|ecab8c00dacd96ec445c007604ba0698
treatment of sewage sludge, 70% water, WWT-SLF, waste newspaper, municipal incineration FAE|918ba32ab7146f1f402d9527038df2e9
land already in use, perennial cropland to pasture, man made|335c70dc0491a7de0031076b38228bcd
market for natural gas, high pressure|869f09fa3808b69861720b3d99f3211b
peanut production, reduced tillage|39eac0c7f53ea86e66982dc26ca3bbb1
glass fibre production|109631517f7b00e8822cef996107e170
electricity production, hydro, pumped storage|b2ddbbe244681f19f3e12c28a368ea77
wheat grain production|a968b1ddd6efd02cd0a2336089f145e7
treatment of blast furnace sludge, residual material landfill|23fde2976582067b0697cf3c6c067a69
treatment of sewage sludge, 97% water, WWT, WW, average, landfarming|c2877e5d8efd505e54c4d3fe1746f113
treatment of waste glass, sanitary landfill|8e8bfe8d2fcf742b1bce34505fd860a3
sodium perborate production, tetrahydrate, powder|bdb2855f2c93d36338118877730abc39
combine harvesting, sweet corn|ab6f5977a9c7e143f9fdd06787738846
computer production, desktop, without screen|a1a113c0e24b97bcc6e7bcaf423abef4
electricity production, hydro, reservoir, non-alpine region|51346ab678dab464c93fc664ec88bf33
treatment of sewage sludge, 70% water, WWT-SLF, waste wood, untreated, municipal incineration FAE|9b581c8ba266aa488af593e67f67e4ff
building machine production|d91ba61fa7f14b066d848b30280923e2
market for wastewater from liquid crystal display backlight production|9eb41b0751d90c3eb79d7471171092f4
sulfate pulp production, from eucalyptus, bleached|76387efcaf8697e5cfaaf0c7c375fcb5
market for electricity, high voltage|0ba50d47babee7da85f561a7191b9d23
coffee green bean production, arabica|415770a091a220d12d8659c4c2a9d520
treatment of waste wood pole, chrome preserved, municipal incineration FAE|fa07e5c0d4558045e77260bf0695817d
electricity production, hard coal|97a03e293746ea24aad7c86ab5d4e0d3
electricity, high voltage, import from IN-Northern grid|21e55d87ebd99fd70205f3e46df19efb
electricity, high voltage, import from GR|679de5c1add0c7234a08ce16655e59e2
market for bottom ash, MSWI-WWT-SLF, waste packaging paper|b18d5e4bb5774d5fe6689bf9114fe50f
melon production|1884e0c83a8e300cb8ddc0630663d45c
land already in use, perennial cropland to annual crop|046256a0c411df6cac6b21b80307fc38
electricity voltage transformation from medium to low voltage|731e09dcccd1880e5d9318452b1df759
heat and power co-generation, biogas, gas engine|eb6ac7e9893b66d4fdc724e939b957e2
market for polyurethane adhesive|ccf34ec1e2a88f1051e3cc777f28175d
market for electricity, high voltage|cb32436f008e9b08e50ae2455cc1810c
market for sewage sludge, 70% water, WWT, WW from ceramic production|aebfb857e09c3d4b971e22fe81db2568
electricity, from municipal waste incineration to generic market for electricity, medium voltage|496b1ead4073e15f8eaa5806d9c6e250
refinery gas production, petroleum refinery operation|4829231bc1f537814ba55927acdbc9b2
treatment of residues, MSWI, municipal solid waste, residual material landfill|daeb5c4c3b7e5261da69d2289e80096e
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|2ccbe4065a9a5936659ac318ab7cd847
market for bottom ash, MSWI-WWT[U], WW from lorry production|1b9cbce6eb3185a87c447f3947be88d9
market for residues, MSWI-WWT-SLF, waste bitumen|fdfe054047bd99ffa62cc2d04be54e0c
carrot production|5e5661db88f2cb55aac0a8e9d616598d
beverage carton converting|0a28d723dd10063415bbf7f649f5883a
market for basic oxygen furnace secondary metallurgy slag, for recovery|e5581c93c1cd480a76a7939f4521c0e6
market for digester sludge|1a47055b266afba1a59821e57cf6e32a
market for electricity, high voltage|3347f4ca1dd3e418e7601b1128a393c2
electricity, high voltage, import from MK|7ce534b353611a3d66fa1461733e105e
